Carbohydrate,Protein,Bean,Vegetable,Fruit_berry
potato,egg,chickpeas,beetroot,green apple
sweet potato,shrimp,red lentils,carrot,red apple
buckwheat,mussel,green lentils,white cabbage,pear
oats,herring,white beans,cauliflower,clementine
barley ,sardine,black beans,broccoli,orange
corn porridge,mackerel,maash,brussels sprouts,pomelo
brown rice,salmon,peas,sweet corn,pomegranate
quinoa,pollock,,green peas,banana
sorghum,european bass,,cucumber,kiwi
amaranth,squid,,tomato,mango
millet,chicken meat,,radish,blueberry
pasta wholegrain,chicken liver,,pepper red,strawberry
bulgur,cheese,,pepper yellow,cherry
white rice,tuna,,pumpkin,bilberry
,,,avocado,black currant
,,,green beans,raspberry
,,,fermented cabbage,grapefruit
,,,fermented cucumber,white grape
,,,green olives,black grape
,,,black olives,persimmon
,,,fermented tomato,pineapple